"892","0","0","Company military","60","418.20"
"1257","1","1","Wide","197","384.71"
"1141","2","2","Operation beat","124","27.21"
"1300","3","3","Create probably","139","337.35"
"1081","4","4","Address American somebody movement","66","68.90"
"312","5","5","When cultural stay","79","98.42"
"416","6","6","Class meet","99","219.97"
"896","7","7","Purpose somebody drop","174","132.18"
"571","8","8","Right","57","484.91"
"742","9","9","Base accept","151","105.41"
"691","10","10","Trial agree","109","300.76"
"37","11","11","Fact learn","187","392.12"
"1142","12","12","Middle","62","372.68"
"1771","13","13","Industry treat ten","34","106.41"
"1965","14","14","Politics police traditional","34","173.03"
"464","15","15","Million before minute","78","111.31"
"1404","16","16","Theory side","2","96.04"
"1811","17","17","Rather team","145","334.06"
"1085","18","18","Know","199","147.35"
"1377","19","19","He factor","83","287.77"
"128","20","20","Interest about","131","281.58"
"1720","21","21","Clearly seat","60","448.64"
"1346","22","22","Itself role sense","119","181.33"
"1351","23","23","Bank of","124","265.89"
"569","24","24","Executive because age development","38","109.67"
"345","25","25","Trial choice party","188","125.16"
"830","26","26","Size each each","63","490.62"
"610","27","27","Total table tree","191","25.29"
"704","28","28","Bring light project","145","98.51"
"233","29","29","Decision mind court","172","214.28"
"1141","30","30","No medical nothing","186","312.10"
"1473","31","31","Reason","25","322.65"
"419","32","32","Stay off morning wind","96","387.61"
"733","33","33","Pretty test put","45","315.88"
"372","34","34","Gun speak","163","200.60"
"817","35","35","Process lead","193","97.26"
"1926","36","36","Boy care","14","29.98"
"393","37","37","Collection","5","490.40"
"1712","38","38","Message century","185","411.78"
"1141","39","39","Between which impact","116","410.94"
"153","40","40","Quality onto","91","257.10"
"143","41","41","Answer no","80","53.25"
"1211","42","42","The theory","133","81.28"
"1048","43","43","Pretty news","156","334.09"
"1175","44","44","Could deep","48","152.06"
"1144","45","45","Which wife along","64","214.28"
"548","46","46","West course among","167","8.83"
"474","47","47","It base","173","381.17"
"1550","48","48","Member suggest","59","352.32"
"531","49","49","You same","141","429.40"
"1091","50","50","Group down","175","192.01"
"1410","51","51","Family should over","147","73.74"
"553","52","52","Stop form happy","77","12.20"
"1554","53","53","Official","129","109.18"
"1619","54","54","Model law anyone","66","426.31"
"1703","55","55","Including woman","180","250.58"
"1460","56","56","Past she","121","429.22"
"1345","57","57","Face everyone glass","101","368.14"
"511","58","58","Threat last","147","347.84"
"225","59","59","Great memory","174","168.00"
"532","60","60","Another able","173","143.88"
"297","61","61","Realize here foreign market","29","144.35"
"1849","62","62","Nice already state","92","466.95"
"1976","63","63","Write benefit","132","452.31"
"1438","64","64","Performance real","160","219.12"
"1427","65","65","Get process","172","124.42"
"702","66","66","State wind drop","87","79.80"
"1773","67","67","Herself might think","130","494.84"
"1723","68","68","Final within respond here","168","107.18"
"1909","69","69","Determine still future","163","433.90"
"1225","70","70","Article there","147","325.58"
"679","71","71","Newspaper find","162","460.26"
"1374","72","72","Born military purpose","157","44.50"
"1048","73","73","Sense own technology per","115","110.13"
"1467","74","74","Floor position key final","83","321.48"
"251","75","75","Beautiful something none","88","487.67"
"1280","76","76","Region religious study","23","391.10"
"1489","77","77","Forget run","106","155.74"
"972","78","78","Can huge daughter","151","368.30"
"917","79","79","Fast claim mean","129","198.54"
"1245","80","80","With author national","190","482.49"
"1460","81","81","Side structure","166","381.60"
"443","82","82","Case improve management have","95","237.54"
"735","83","83","Easy","75","498.60"
"7","84","84","Current design","135","450.93"
"648","85","85","Sit theory for","23","256.48"
"790","86","86","Beautiful will never","57","87.34"
"1356","87","87","Thus by","101","128.12"
"1684","88","88","In some near","35","298.38"
"1287","89","89","Lay choose","146","99.20"
"1903","90","90","Case on strategy","113","143.93"
"1141","91","91","Better beautiful interest","15","17.04"
"1187","92","92","Job green","198","122.43"
"342","93","93","Today public member city","116","455.06"
"1751","94","94","Spend bed country","179","146.99"
"490","95","95","Minute plan entire","166","71.71"
"131","96","96","Rise look seek","198","33.69"
"745","97","97","No item short","17","333.96"
"1864","98","98","Always commercial field","116","223.29"
"921","99","99","Push","41","212.33"
"1528","100","100","Someone majority","80","148.02"
"1829","101","101","Style baby series east","130","316.19"
"802","102","102","Practice success herself","100","319.50"
"589","103","103","Study remain down","146","56.48"
"1683","104","104","Ground follow first","64","439.16"
"987","105","105","Eight","132","372.56"
"880","106","106","Without measure","71","277.53"
"953","107","107","And know","168","440.91"
"802","108","108","Become edge ask","72","219.65"
"227","109","109","Blue somebody strategy","59","212.87"
"1549","110","110","Song page","59","141.87"
"78","111","111","Message idea dinner scientist","137","6.15"
"1944","112","112","Standard on","70","200.87"
"1428","113","113","Unit place","193","103.27"
"1406","114","114","Law threat","3","180.55"
"1875","115","115","Middle","118","363.21"
"423","116","116","Impact whether glass","170","236.09"
"26","117","117","Enter enough if","159","271.75"
"1807","118","118","Marriage yes culture","130","201.42"
"560","119","119","Learn usually","170","137.08"
"1298","120","120","Pressure","187","3.07"
"943","121","121","Final quite tax learn","44","84.59"
"944","122","122","Learn despite personal","42","490.88"
"888","123","123","Piece","126","220.62"
"129","124","124","Clearly understand ball","25","121.21"
"1883","125","125","Into share science","108","17.72"
"575","126","126","Office you step","118","51.59"
"1809","127","127","Budget","18","427.39"
"1689","128","128","Society wind mother","84","299.86"
"774","129","129","Left court","164","466.66"
"221","130","130","Believe","187","495.35"
"1041","131","131","Wall likely","74","459.70"
"1637","132","132","Record bank","103","135.69"
"437","133","133","Whom their this","156","20.98"
"1305","134","134","News collection act","16","194.21"
"1961","135","135","Choose food again","188","283.09"
"338","136","136","Again identify test","48","358.47"
"1275","137","137","Beyond newspaper usually","171","203.28"
"1695","138","138","Form generation whether","21","239.23"
"1481","139","139","Chance","86","44.76"
"1453","140","140","Detail oil give hotel","197","476.97"
"545","141","141","Young","67","166.83"
"1331","142","142","Pm court","134","37.04"
"231","143","143","American civil","93","276.05"
"1904","144","144","Us nation","190","407.03"
"1120","145","145","Movement loss girl","177","350.94"
"1670","146","146","Buy she","46","228.52"
"1747","147","147","Example reduce maintain","164","129.15"
"1056","148","148","Anyone most","179","478.74"
"73","149","149","Event six","152","158.31"
"1754","150","150","Thus professional capital","73","439.13"
"332","151","151","Agreement structure carry","43","342.08"
"767","152","152","Better majority spring","152","375.02"
"629","153","153","Cold kid away","78","298.23"
"372","154","154","These cut","67","11.88"
"1381","155","155","Individual school","149","450.21"
"1000","156","156","Data","67","102.91"
"367","157","157","Inside consumer site","110","99.24"
"1842","158","158","Chance defense life","142","229.61"
"1299","159","159","Claim million glass","62","384.72"
"691","160","160","Past trade","56","90.23"
"905","161","161","Entire same","55","291.40"
"1533","162","162","Well glass","4","251.87"
"1269","163","163","Support piece","29","323.71"
"1280","164","164","Contain nearly bag","119","194.45"
"806","165","165","Until want","154","73.25"
"1361","166","166","Within window","117","445.64"
"1346","167","167","Show social nice","56","322.61"
"1948","168","168","Perform job PM","13","407.86"
"1319","169","169","Knowledge","169","190.34"
"1723","170","170","Level economic","152","147.59"
"1406","171","171","Probably international","187","154.99"
"1367","172","172","Consider interest rock require","51","424.89"
"1464","173","173","Contain allow","125","91.06"
"377","174","174","Mission everything","48","189.78"
"1933","175","175","Question leader law","62","372.73"
"1934","176","176","Whether source for","114","231.90"
"1215","177","177","Number group ability follow","67","313.30"
"977","178","178","Into word","103","305.63"
"1579","179","179","Risk if","97","454.06"
"1270","180","180","Operation agent","124","64.29"
"1461","181","181","Almost he","57","141.42"
"199","182","182","Carry meeting may","32","301.75"
"162","183","183","Mean actually","131","59.82"
"1459","184","184","Maintain","179","137.39"
"566","185","185","Shoulder reason","66","7.27"
"919","186","186","However while","120","369.05"
"450","187","187","Method because office","186","66.29"
"1066","188","188","Interview collection above","103","171.26"
